WARNING: 09:37:39 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:39 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:39 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:40 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:40 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:40 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:41 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:41 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:41 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:42 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:42 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:42 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:43 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 21, 160, 125, 51, 126]
WARNING: 09:37:43 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 21, 160, 125, 51, 126]
WARNING: 09:37:43 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLS1500: Bad checksum. Raw output [126, 0, 53, 0, 2, 21, 160, 125, 51, 126]
WARNING: 09:37:43 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLS1500: 'bool' object is not iterable
WARNING: 09:37:43 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:43 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:43 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:44 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:44 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:44 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:45 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:45 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:45 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Encountered exception in validating flowmeter SLI2000: Bad checksum. Raw output [126, 0, 53, 0, 2, 31, 125, 49, 152, 126]
WARNING: 09:37:46 - main_pipeline.interpreter:  Unexpected error in processing flowmeter SLI2000: 'bool' object is not iterable
WARNING: 09:37:46 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:46 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:46 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:47 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:47 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:47 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:48 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:48 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:48 - sensor_interfaces.picarro_interface:  Picarro queried
WARNING: 09:37:49 - main_pipeline.interpreter:  Recieved error message from laser distance: g0@E256
 Check manual for error code. Not updating measurement
INFO: 09:37:49 - sensor_interfaces.picarro_interface:  Picarro queried
INFO: 09:37:49 - sensor_interfaces.picarro_interface:  Picarro queried
