Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275595.6382267,-0.99,-0.001,-0.006,0.021,1726275594.8672745,0.0,-4.6,1726275594.7891595,0,1726275594.7891595,8.8,-0.004
1726275596.4997485,-0.99,-0.001,-0.006,0.021,1726275595.716394,0.0,-4.5,1726275595.6382267,0,1726275595.6382267,8.6,-0.002
1726275597.34845,-0.99,-0.001,-0.006,0.021,1726275596.578301,0.0,-4.5,1726275596.4997485,0,1726275596.4997485,7.8,0.0
1726275598.1961427,-0.99,-0.001,-0.006,0.021,1726275597.426823,0.0,-4.5,1726275597.34845,0,1726275597.34845,9.0,-0.002
1726275599.044187,-0.99,-0.001,-0.006,0.021,1726275598.2742474,0.0,-4.4,1726275598.1961427,0,1726275598.1961427,9.8,-0.002
1726275599.9250362,-0.99,-0.001,-0.006,0.021,1726275599.1225886,0.0,-4.3,1726275599.044187,0,1726275599.044187,10.0,-0.002
1726275600.8051016,-0.99,-0.001,-0.006,0.021,1726275600.0187957,0.0,-4.2,1726275599.9250362,0,1726275599.9250362,8.8,-0.002
1726275601.685731,-0.99,-0.001,-0.006,0.021,1726275600.8990803,0.0,-4.0,1726275600.8051016,0,1726275600.8051016,8.2,-0.002
1726275602.549865,-0.99,-0.001,-0.006,0.021,1726275601.7641187,0.0,-3.9,1726275601.685731,0,1726275601.685731,8.4,0.0
1726275603.4146397,-0.99,-0.001,-0.006,0.021,1726275602.6280491,0.0,-3.7,1726275602.549865,0,1726275602.549865,8.6,-0.002
1726275604.278608,-0.99,-0.001,-0.006,0.021,1726275603.4928532,0.0,-3.6,1726275603.4146397,0,1726275603.4146397,8.2,-0.002
